72;der Kuli, -s;pen (slang);Hast du einen Kuli?;Do you have a pen?;[sound:72.mp3]
73;der Laptop, -s;laptop;Mein Laptop ist schnell.;My laptop is fast.;[sound:73.mp3]
74;das Tablet, -s;tablet;Ich lese Bücher auf meinem Tablet.;I read books on my tablet.;[sound:74.mp3]
75;der Schlüssel, -;key;Hast du den Schlüssel verloren?;Did you lose the key?;[sound:75.mp3]
76;der Tisch, -e;table;Wir essen am Tisch.;We eat at the table.;[sound:76.mp3]
77;"der Stuhl, ""-e";chair;Bitte nehmen Sie Platz auf dem Stuhl.;Please take a seat on the chair.;[sound:77.mp3]
78;"das Buch, ""-er";book;Ich lese gerne Bücher.;I enjoy reading books.;[sound:78.mp3]
79;das Heft, -e;notebook;Ich schreibe Notizen in mein Heft.;I write notes in my notebook.;[sound:79.mp3]
80;das Handy, -s;mobile phone;Mein Handy klingelt.;My mobile phone is ringing.;[sound:80.mp3]
81;das Fenster, -;window;Mach das Fenster zu, es zieht.;'Close the window, there''s a draft.';[sound:81.mp3]
82;die Lampe, -n;lamp;Die Lampe ist kaputt.;The lamp is broken.;[sound:82.mp3]
83;die Brille, -n;glasses;Ich trage eine Brille.;I wear glasses.;[sound:83.mp3]
84;die CD, -s;CD;Ich höre gerne Musik auf CD.;I enjoy listening to music on CD.;[sound:84.mp3]
85;die Flasche, -n;bottle;Gib mir die Flasche Wasser.;Give me the bottle of water.;[sound:85.mp3]
86;die Tür, -en;door;Die Tür ist geschlossen.;The door is closed.;[sound:86.mp3]
87;die Uhr, -en;clock;Die Uhr zeigt 3 Uhr an.;'The clock shows 3 o''clock.';[sound:87.mp3]
88;die Tafel, -n;blackboard;Der Lehrer schreibt an die Tafel.;The teacher writes on the blackboard.;[sound:88.mp3]
89;die Tasche, -n;bag;Ich habe meine Tasche vergessen.;I forgot my bag.;[sound:89.mp3]
90;kosten;to cost;Wie viel kostet das?;How much does this cost?;[sound:90.mp3]
91;der Euro, -s;euro;Das kostet 10 Euro.;That costs 10 euros.;[sound:91.mp3]
92;richtig;correct;Das ist die richtige Antwort.;That is the correct answer.;[sound:92.mp3]
93;kaputt;broken;Mein Handy ist kaputt.;My phone is broken.;[sound:93.mp3]
94;interessant;interesting;Das Buch ist sehr interessant.;The book is very interesting.;[sound:94.mp3]
95;die Vorwahl, -en;area code;Die Vorwahl für Berlin ist 030.;The area code for Berlin is 030.;[sound:95.mp3]
96;die Telefonnummer, -n;phone number;Wie ist deine Telefonnummer?;What is your phone number?;[sound:96.mp3]
97;die Adresse, -n;address;Bitte geben Sie mir Ihre Adresse.;Please give me your address.;[sound:97.mp3]
98;die Straße, -n;street;Ich wohne in der Hauptstraße.;I live on Main Street.;[sound:98.mp3]
99;die Postleitzahl, -en;postcode;Was ist deine Postleitzahl?;What is your postcode?;[sound:99.mp3]
100;die E-Mail-Adresse, -n;email address;Kannst du mir deine E-Mail-Adresse geben?;Can you give me your email address?;[sound:100.mp3]
101;die Kita, -s;kindergarten;Unsere Tochter geht in die Kita.;Our daughter goes to kindergarten.;[sound:101.mp3]
102;"der Platz, ""-e";place;Ist hier noch ein freier Platz?;Is there a free place here?;[sound:102.mp3]
103;frei;free;Der Tisch ist noch frei.;The table is still free.;[sound:103.mp3]
104;schicken;to send;Ich werde dir die Datei schicken.;I will send you the file.;[sound:104.mp3]
105;das Anmeldeformular, -e;registration form;Bitte füllen Sie das Anmeldeformular aus.;Please fill out the registration form.;[sound:105.mp3]
106;Vielen Dank;Thank you very much;Vielen Dank für Ihre Hilfe.;Thank you very much for your help.;[sound:106.mp3]
107;auf Wiederhören;Goodbye (on the phone);Auf Wiederhören!;Goodbye!;[sound:107.mp3]
108;ganz schön;quite;Das war ganz schön schwierig.;That was quite difficult.;[sound:108.mp3]
109;schlecht;bad;Das Essen war wirklich schlecht.;The food was really bad.;[sound:109.mp3]
110;langweilig;boring;Der Film war langweilig.;The movie was boring.;[sound:110.mp3]
111;furchtbar;terrible;Das Wetter ist heute furchtbar.;The weather is terrible today.;[sound:111.mp3]
112;das Erdgeschoss, -e;ground floor;Unsere Wohnung ist im Erdgeschoss.;Our apartment is on the ground floor.;[sound:112.mp3]
113;der Stock, PL: Stockwerke;floor;Die Büros sind im dritten Stock.;The offices are on the third floor.;[sound:113.mp3]
114;im ersten/zweiten/dritten Stock;on the first/second/third floor;Meine Wohnung ist im ersten Stock.;My apartment is on the first floor.;[sound:114.mp3]
115;das Dachgeschoss, -e;attic;Das Dachgeschoss ist ein schöner Raum.;The attic is a beautiful space.;[sound:115.mp3]
116;oben;up;Die Schlafzimmer sind oben.;The bedrooms are up.;[sound:116.mp3]
117;unten;down;Die Küche ist unten.;The kitchen is downstairs.;[sound:117.mp3]
118;links;left;Das Museum ist auf der linken Seite.;The museum is on the left side.;[sound:118.mp3]
119;rechts;right;Das Restaurant ist auf der rechten Seite.;The restaurant is on the right side.;[sound:119.mp3]
120;das Geschäft, -e;shop;Ich gehe ins Geschäft, um einzukaufen.;'I''m going to the shop to shop.';[sound:120.mp3]
121;es gibt;there is/are;Es gibt viele Bücher in der Bibliothek.;There are many books in the library.;[sound:121.mp3]
122;der Quadratmeter, (qm), -;square meter;Die Wohnung ist 100 Quadratmeter groß.;The apartment is 100 square meters.;[sound:122.mp3]
123;der Balkon, -s/-e;balcony;Der Balkon hat einen schönen Ausblick.;The balcony has a beautiful view.;[sound:123.mp3]
124;der Garten;garden;Wir haben einen großen Garten.;We have a big garden.;[sound:124.mp3]
125;in der Nähe;nearby;Der Supermarkt ist in der Nähe.;The supermarket is nearby.;[sound:125.mp3]
126;die Zentralheizung, -en;central heating;Unsere Wohnung hat Zentralheizung.;Our apartment has central heating.;[sound:126.mp3]
127;bezahlen;to pay;Ich werde die Rechnung bezahlen.;I will pay the bill.;[sound:127.mp3]
128;die Miete, -n;rent;Die Miete ist monatlich zu zahlen.;The rent is to be paid monthly.;[sound:128.mp3]
129;die Nebenkosten, PI;utility costs;Die Nebenkosten sind im Mietpreis enthalten.;The utility costs are included in the rent.;[sound:129.mp3]
130;kalt;cold;Es ist heute sehr kalt.;It is very cold today.;[sound:130.mp3]
131;warm;warm;Das Wasser in der Dusche ist warm.;The water in the shower is warm.;[sound:131.mp3]
132;hell;bright;Das Zimmer ist hell und geräumig.;The room is bright and spacious.;[sound:132.mp3]
133;dunkel;dark;Der Keller ist dunkel.;The basement is dark.;[sound:133.mp3]
134;laut;loud;Die Musik ist zu laut.;The music is too loud.;[sound:134.mp3]
135;ruhig;quiet;Es ist hier sehr ruhig.;'It''s very quiet here.';[sound:135.mp3]
136;günstig;affordable;Die Preise sind günstig.;The prices are affordable.;[sound:136.mp3]
137;der Vater;father;Mein Vater ist Arzt.;My father is a doctor.;[sound:137.mp3]
138;die Mutter;mother;Meine Mutter ist Lehrerin.;My mother is a teacher.;[sound:138.mp3]
139;die Eltern, PI;parents;Meine Eltern kommen zu Besuch.;My parents are coming to visit.;[sound:139.mp3]
140;der Bruder;brother;Mein Bruder spielt Fußball.;My brother plays soccer.;[sound:140.mp3]
141;die Schwester, -n;sister;Meine Schwester studiert Medizin.;My sister is studying medicine.;[sound:141.mp3]
142;die Geschwister, PI;siblings;Meine Geschwister und ich sind sehr eng.;My siblings and I are very close.;[sound:142.mp3]
143;der Onkel, -;uncle;Mein Onkel wohnt in Berlin.;My uncle lives in Berlin.;[sound:143.mp3]
144;die Tante,-n;aunt;Meine Tante ist sehr nett.;My aunt is very nice.;[sound:144.mp3]
145;"der Sohn, ""-e";son;Unser Sohn ist fünf Jahre alt.;Our son is five years old.;[sound:145.mp3]
146;die Tochter;daughter;Ihre Tochter ist sehr talentiert.;Your daughter is very talented.;[sound:146.mp3]
147;das Foto, -s;photo;Ich mache ein Foto von dir.;'I''m taking a photo of you.';[sound:147.mp3]
148;zu Hause;at home;Ich bin zu Hause.;I am at home.;[sound:148.mp3]
149;studieren;to study;Ich studiere Medizin an der Universität.;I study medicine at the university.;[sound:149.mp3]
150;die Freizeit, Sg.;free time;In meiner Freizeit lese ich gern.;I like to read in my free time.;[sound:150.mp3]
151;die Familie, -n;family;Meine Familie besucht mich am Wochenende.;My family visits me on the weekend.;[sound:151.mp3]
152;alle;all;Alle sind eingeladen.;Everyone is invited.;[sound:152.mp3]
153;faulenzen;to laze around;Am Sonntag faulenze ich gerne.;I like to laze around on Sundays.;[sound:153.mp3]
154;schlafen;to sleep;Ich möchte heute länger schlafen.;I want to sleep longer today.;[sound:154.mp3]
155;essen;to eat;Ich esse gern Pizza.;I like to eat pizza.;[sound:155.mp3]
156;lesen;to read;Ich lese ein Buch in der Bibliothek.;'I''m reading a book in the library.';[sound:156.mp3]
157;sehen;to see;Ich sehe einen Film im Kino.;'I''m watching a movie in the cinema.';[sound:157.mp3]
158;nehmen;to take;Kannst du das bitte nehmen?;Can you please take that?;[sound:158.mp3]
159;fahren;to drive;Wir fahren in den Urlaub.;We are driving on vacation.;[sound:159.mp3]
160;treffen;to meet;Ich treffe meine Freunde nach der Arbeit.;'I''m meeting my friends after work.';[sound:160.mp3]
161;die Schokolade, Sg.;chocolate;Ich liebe Schokolade.;I love chocolate.;[sound:161.mp3]
162;die Pizza, -s/Pizzen;pizza;Wir bestellen eine Pizza zum Abendessen.;'We''re ordering a pizza for dinner.';[sound:162.mp3]
163;der Film, -e;movie;Wir schauen uns einen Film an.;'We''re watching a movie.';[sound:163.mp3]
164;nach: nach Berlin;to: to Berlin;Wir fahren nach Berlin.;'We''re going to Berlin.';[sound:164.mp3]
165;nach Hause;home;Ich gehe nach Hause.;'I''m going home.';[sound:165.mp3]
166;Zeit haben;to have time;Hast du Zeit, heute Abend auszugehen?;Do you have time to go out tonight?;[sound:166.mp3]
167;gern, gerne;like;Ich trinke gern Kaffee.;I like to drink coffee.;[sound:167.mp3]
168;die Sehenswürdigkeit, -en;sightseeing attraction;Wir besichtigen die Sehenswürdigkeiten der Stadt.;'We''re visiting the city''s sightseeing attractions.';[sound:168.mp3]
169;das Wochenende, -n;weekend;Am Wochenende gehe ich oft spazieren.;I often go for a walk on the weekend.;[sound:169.mp3]
170;am Wochenende;on the weekend;Am Wochenende besuche ich meine Großeltern.;On the weekend, I visit my grandparents.;[sound:170.mp3]
171;bleiben;to stay;Wir bleiben eine Woche in Paris.;We are staying in Paris for a week.;[sound:171.mp3]
172;chillen;to chill;Am Samstagabend chille ich zu Hause.;I chill at home on Saturday evening.;[sound:172.mp3]
173;der Tag, -e;day;Der Tag beginnt früh.;The day starts early.;[sound:173.mp3]
174;wo;where;Wo bist du?;Where are you?;[sound:174.mp3]
175;wohin;where to;Wohin gehst du?;Where are you going?;[sound:175.mp3]
176;die Radtour, -en;bike ride;Wir machen eine Radtour im Park.;We are going for a bike ride in the park.;[sound:176.mp3]
177;"der Supermarkt, ""-e";supermarket;Ich gehe zum Supermarkt, um einzukaufen.;'I''m going to the supermarket to shop.';[sound:177.mp3]
178;die Lebensmittel, PI.;groceries;Ich kaufe Lebensmittel für die Woche.;'I''m buying groceries for the week.';[sound:178.mp3]
179;besichtigen;to visit (a place);Wir besichtigen das Schloss.;We are visiting the castle.;[sound:179.mp3]
180;besuchen;to visit (a person);Wir besuchen meine Großeltern am Wochenende.;We visit my grandparents on the weekend.;[sound:180.mp3]
181;das Straßenfest, -e;street festival;Das Straßenfest findet am Samstag statt.;The street festival takes place on Saturday.;[sound:181.mp3]
182;zu Mittag essen;to have lunch;Ich esse zu Mittag um 12 Uhr.;'I have lunch at 12 o''clock.';[sound:182.mp3]
183;der Kaffee, Sg.;coffee;Ich trinke gern Kaffee am Morgen.;I like to drink coffee in the morning.;[sound:183.mp3]
184;trinken;to drink;Was möchtest du trinken?;What would you like to drink?;[sound:184.mp3]
185;kennen;to know;Ich kenne diesen Ort nicht.;'I don''t know this place.';[sound:185.mp3]
186;zuerst;first;Zuerst gehen wir einkaufen und dann essen wir zu Mittag.;First, we go shopping, and then we have lunch.;[sound:186.mp3]
187;dann;then;Ich gehe einkaufen, und dann treffe ich dich.;'I''m going shopping, and then I''ll meet you.';[sound:187.mp3]
188;danach;afterward;Wir gehen ins Kino, und danach essen wir zu Abend.;'We''re going to the cinema, and afterward, we''ll have dinner.';[sound:188.mp3]
189;früher;earlier;Früher war ich Lehrer, jetzt bin ich Schriftsteller.;'I used to be a teacher, now I''m a writer.';[sound:189.mp3]
190;alles anders;everything is different;Nach dem Umzug war alles anders.;After the move, everything was different.;[sound:190.mp3]
191;Fußball spielen;to play soccer;Wir gehen nach draußen, um Fußball zu spielen.;'We''re going outside to play soccer.';[sound:191.mp3]
192;joggen;to jog;Ich jogge jeden Morgen im Park.;I jog in the park every morning.;[sound:192.mp3]
193;ein Bild malen;to paint a picture;Ich male gerne Bilder in meiner Freizeit.;I like to paint pictures in my free time.;[sound:193.mp3]
194;tanzen;to dance;Am Wochenende tanzen wir in der Diskothek.;We dance at the nightclub on the weekend.;[sound:194.mp3]
195;im Internet surfen;to surf the internet;Ich surfe im Internet, um Informationen zu finden.;I surf the internet to find information.;[sound:195.mp3]
196;grillen;to barbecue;Wir grillen Fleisch und Gemüse im Garten.;We barbecue meat and vegetables in the garden.;[sound:196.mp3]
197;Musik hören;to listen to music;Ich höre gern Musik.;I like to listen to music.;[sound:197.mp3]
198;schwimmen;to swim;Im Sommer schwimme ich im See.;I swim in the lake in the summer.;[sound:198.mp3]
199;das Hobby, -s;hobby;Mein Hobby ist Fotografie.;My hobby is photography.;[sound:199.mp3]
200;(nicht) gern, gerne;(not) like;Ich esse gern Pizza, aber ich mag keinen Fisch.;'I like pizza, but I don''t like fish.';[sound:200.mp3]
201;spät;late;Es ist schon spät, wir sollten nach Hause gehen.;'It''s already late';[sound:201.mp3]
202;Wie spät ist es?;What time is it?;Wie spät ist es, bitte?;What time is it, please?;[sound:202.mp3]
203;halb;half;Es ist halb sechs.;'It''s half past five.';[sound:203.mp3]
204;Viertel vor;quarter to;Es ist Viertel vor acht.;'It''s quarter to eight.';[sound:204.mp3]
205;Viertel nach;quarter past;Es ist Viertel nach drei.;'It''s quarter past three.';[sound:205.mp3]
206;um;at;Wir treffen uns um 15 Uhr.;'We''re meeting at 3 o''clock.';[sound:206.mp3]
207;beginnen;to begin;Die Vorlesung beginnt um 9 Uhr.;'The lecture begins at 9 o''clock.';[sound:207.mp3]
208;Um wie viel Uhr?;At what time?;Um wie viel Uhr beginnt der Film?;At what time does the movie start?;[sound:208.mp3]
209;enden;to end;Das Konzert endet um 22 Uhr.;The concert ends at 10 p.m.;[sound:209.mp3]
210;gehen;to go;Ich gehe in den Park.;'I''m going to the park.';[sound:210.mp3]
211;von ... bis;from ... to;Die Veranstaltung dauert von Montag bis Freitag.;The event is from Monday to Friday.;[sound:211.mp3]
212;"der Zug, ""-e";train;Der Zug fährt um 15 Uhr ab.;'The train departs at 3 o''clock.';[sound:212.mp3]
213;der Radiowecker, -;radio alarm clock;Der Radiowecker klingelt um 7 Uhr morgens.;The radio alarm clock rings at 7 in the morning.;[sound:213.mp3]
214;klingeln;to ring;Das Telefon klingelt, ich gehe ran.;'The phone is ringing, I''ll answer it.';[sound:214.mp3]
215;das Flugzeug, -e;airplane;Das Flugzeug fliegt nach Paris.;The airplane is flying to Paris.;[sound:215.mp3]
216;der Krimi, -s;mystery (genre);Ich lese gerne Krimis.;I like to read mysteries.;[sound:216.mp3]
217;anrufen;to call;Ich werde dich später anrufen.;'I''ll call you later.';[sound:217.mp3]
218;das Kino, -s;cinema;Wir gehen ins Kino, um einen Film zu sehen.;'We''re going to the cinema to watch a movie.';[sound:218.mp3]
219;anfangen;to start;Der Film fängt um 19 Uhr an.;The movie starts at 7 p.m.;[sound:219.mp3]
220;aufhören;to stop;Kannst du bitte aufhören, so laut zu sprechen?;Can you please stop speaking so loudly?;[sound:220.mp3]
221;aufstehen;to get up;Ich stehe morgens um 6 Uhr auf.;I get up at 6 in the morning.;[sound:221.mp3]
222;aufräumen;to tidy up;Lass uns das Zimmer aufräumen.;'Let''s tidy up the room.';[sound:222.mp3]
223;einkaufen;to shop;Ich gehe einkaufen, um Lebensmittel zu kaufen.;'I''m going shopping to buy groceries.';[sound:223.mp3]
224;mitnehmen;to take with;Vergiss nicht, deinen Regenschirm mitzunehmen.;'Don''t forget to take your umbrella with you.';[sound:224.mp3]
225;die Zeitung, -en;newspaper;Ich lese die Zeitung, um informiert zu sein.;I read the newspaper to be informed.;[sound:225.mp3]
226;fernsehen;to watch TV;Ich liebe es, Filme im Fernsehen anzusehen.;I love watching movies on TV.;[sound:226.mp3]
227;ausgehen;to go out;Wir gehen am Wochenende aus.;We go out on the weekend.;[sound:227.mp3]
228;wegfahren;to drive away;Sie fahren für eine Woche in den Urlaub weg.;They are going on vacation for a week.;[sound:228.mp3]
229;mitkommen;to come along;Kommst du zum Konzert mit?;Are you coming along to the concert?;[sound:229.mp3]
230;stattfinden;to take place;Die Veranstaltung findet im Park statt.;The event is taking place in the park.;[sound:230.mp3]
231;ausfallen;to be canceled;Das Spiel fällt heute wegen Regen aus.;The game is canceled today due to rain.;[sound:231.mp3]
232;einkaufen gehen;to go shopping;Ich gehe morgen einkaufen.;'I''m going shopping tomorrow.';[sound:232.mp3]
233;spazieren gehen;to go for a walk;Wir gehen gerne spazieren im Park.;We like to go for a walk in the park.;[sound:233.mp3]
234;jeden Tag;every day;Ich trinke jeden Tag eine Tasse Kaffee.;I drink a cup of coffee every day.;[sound:234.mp3]
235;"der Ausflug, ""-e";outing;Wir planen einen Ausflug ins Grüne.;'We''re planning an outing to the countryside.';[sound:235.mp3]
236;heute;today;Heute ist ein schöner Tag.;Today is a beautiful day.;[sound:236.mp3]
237;die Woche, -n;week;Ich bin die ganze Woche beschäftigt.;'I''m busy the whole week.';[sound:237.mp3]
238;der Montag, -e;Monday;Montag ist der erste Tag der Woche.;Monday is the first day of the week.;[sound:238.mp3]
239;der Dienstag, -e;Tuesday;Dienstag ist mein Lieblingstag.;Tuesday is my favorite day.;[sound:239.mp3]
240;der Mittwoch, -e;Wednesday;Am Mittwoch habe ich einen Arzttermin.;'I have a doctor''s appointment on Wednesday.';[sound:240.mp3]
241;der Donnerstag, -e;Thursday;Donnerstag ist ein arbeitsreicher Tag.;Thursday is a busy day.;[sound:241.mp3]
242;der Freitag, -e;Friday;Am Freitag treffen wir uns im Café.;We meet at the café on Friday.;[sound:242.mp3]
243;der Samstag, -e;Saturday;Am Samstag haben wir eine Party.;'We''re having a party on Saturday.';[sound:243.mp3]
244;der Sonntag, -e;Sunday;Sonntag ist ein Ruhetag.;Sunday is a day of rest.;[sound:244.mp3]
245;die Hausaufgabe, -n;homework;Ich mache meine Hausaufgaben am Abend.;I do my homework in the evening.;[sound:245.mp3]
246;"das Fahrrad, ""-er";bicycle;Ich fahre mit dem Fahrrad zur Arbeit.;I ride my bicycle to work.;[sound:246.mp3]
247;reparieren;to repair;Ich muss meinen Computer reparieren.;I need to repair my computer.;[sound:247.mp3]
248;am Morgen;in the morning;Am Morgen trinke ich Kaffee.;I drink coffee in the morning.;[sound:248.mp3]
249;am Vormittag;in the late morning;Am Vormittag erledige ich meine Arbeit.;I do my work in the late morning.;[sound:249.mp3]
250;am Mittag;at noon;Am Mittag esse ich zu Mittag.;I have lunch at noon.;[sound:250.mp3]
251;am Nachmittag;in the afternoon;Am Nachmittag gehe ich spazieren.;I go for a walk in the afternoon.;[sound:251.mp3]
252;am Abend;in the evening;Am Abend schaue ich gerne fern.;I like to watch TV in the evening.;[sound:252.mp3]
253;in der Nacht;at night;In der Nacht schlafe ich.;I sleep at night.;[sound:253.mp3]
254;die Fahrkarte, -n;ticket;Ich kaufe eine Fahrkarte für den Zug.;I buy a ticket for the train.;[sound:254.mp3]
255;der Dienstagabend, -e;Tuesday evening;Am Dienstagabend haben wir Schach gespielt.;We played chess on Tuesday evening.;[sound:255.mp3]
256;Schach spielen;to play chess;Ich spiele gerne Schach mit meinen Freunden.;I enjoy playing chess with my friends.;[sound:256.mp3]
257;zusammen;together;Wir essen zusammen zu Abend.;We have dinner together.;[sound:257.mp3]
258;vielleicht;maybe;Vielleicht gehe ich morgen ins Kino.;'Maybe I''ll go to the cinema tomorrow.';[sound:258.mp3]
259;Lust haben;to feel like;Ich habe Lust auf Pizza.;I feel like having pizza.;[sound:259.mp3]
260;Zeit haben;to have time;Hast du Zeit, am Samstag zu kommen?;Do you have time to come on Saturday?;[sound:260.mp3]
261;später;later;Ich rufe dich später an.;'I''ll call you later.';[sound:261.mp3]
262;leider;unfortunately;Leider kann ich nicht kommen.;'Unfortunately, I can''t come.';[sound:262.mp3]
263;kochen;to cook;Ich koche gerne Abendessen.;I like to cook dinner.;[sound:263.mp3]
264;Guten Appetit;enjoy your meal;Guten Appetit!;Enjoy your meal!;[sound:264.mp3]
265;der Apfel, -Äpfel;apple;Ein Apfel am Tag hält den Arzt fern.;An apple a day keeps the doctor away.;[sound:265.mp3]
266;die Banane, -n;banana;Ich esse eine Banane zum Frühstück.;I eat a banana for breakfast.;[sound:266.mp3]
267;das Brot, -e;bread;Wir kaufen frisches Brot beim Bäcker.;We buy fresh bread from the bakery.;[sound:267.mp3]
268;die Butter, Sg.;butter;Ich schmiere Butter auf mein Brot.;I spread butter on my bread.;[sound:268.mp3]
269;das Hähnchen, -;chicken;Wir grillen Hähnchen im Garten.;We barbecue chicken in the garden.;[sound:269.mp3]
